"","word","freq"
"in boston","in boston",15
"in brooklyn","in brooklyn",15
"in colorado","in colorado",15
"in contrast","in contrast",15
"in danger","in danger",15
"in hollywood","in hollywood",15
"in hopes","in hopes",15
"in how","in how",15
"in india","in india",15
"in last","in last",15
"in light","in light",15
"in trouble","in trouble",15
"in writing","in writing",15
"includes the","includes the",15
"intention of","intention of",15
"invest in","invest in",15
"involved with","involved with",15
"is any","is any",15
"is completely","is completely",15
"is crazy","is crazy",15
"is finally","is finally",15
"is running","is running",15
"is saying","is saying",15
"issue in","issue in",15
"it about","it about",15
"it certainly","it certainly",15
"it done","it done",15
"it got","it got",15
"it it's","it it's",15
"it there","it there",15
"it well","it well",15
"it wone28099t","it wone28099t",15
"it's important","it's important",15
"it's in","it's in",15
"it's kind","it's kind",15
"it's never","it's never",15
"it's possible","it's possible",15
"its new","its new",15
"jobs in","jobs in",15
"july 1","july 1",15
"just did","just did",15
"just didn't","just didn't",15
"justin bieber","justin bieber",15
"keep going","keep going",15
"kids have","kids have",15
"know you're","know you're",15
"lake oswego","lake oswego",15
"last fall","last fall",15
"late last","late last",15
"laugh at","laugh at",15
"leadership of","leadership of",15
"learning how","learning how",15
"left on","left on",15
"life he","life he",15
"life it","life it",15
"life on","life on",15
"life you","life you",15
"light on","light on",15
"like it's","like it's",15
"like our","like our",15
"like some","like some",15
"live a","live a",15
"live music","live music",15
"look around","look around",15
"look good","look good",15
"look in","look in",15
"look on","look on",15
"looks to","looks to",15
"love i","love i",15
"mad at","mad at",15
"made on","made on",15
"make for","make for",15
"make more","make more",15
"man of","man of",15
"may need","may need",15
"may seem","may seem",15
"maybe it's","maybe it's",15
"maybe not","maybe not",15
"maybe they","maybe they",15
"me being","me being",15
"me lol","me lol",15
"me over","me over",15
"me was","me was",15
"means i","means i",15
"meeting in","meeting in",15
"meetings and","meetings and",15
"men are","men are",15
"message of","message of",15
"might want","might want",15
"million of","million of",15
"million or","million or",15
"mixture and","mixture and",15
"moment in","moment in",15
"month for","month for",15
"months after","months after",15
"more at","more at",15
"morning to","morning to",15
"moved from","moved from",15
"movies and","movies and",15
"much and","much and",15
"murder of","murder of",15
"music i","music i",15
"music to","music to",15
"music video","music video",15
"my baby","my baby",15
"my computer","my computer",15
"my dear","my dear",15
"my iphone","my iphone",15
"my man","my man",15
"my most","my most",15
"my soul","my soul",15
"name a","name a",15
"near a","near a",15
"nearly a","nearly a",15
"need of","need of",15
"network of","network of",15
"never even","never even",15
"next couple","next couple",15
"night after","night after",15
"no different","no different",15
"no further","no further",15
"north and","north and",15
"not alone","not alone",15
"not come","not come",15
"not guilty","not guilty",15
"not happy","not happy",15
"not looking","not looking",15
"not make","not make",15
"nothing about","nothing about",15
"now my","now my",15
"now so","now so",15
"now there","now there",15
"now what","now what",15
"numbers and","numbers and",15
"occurred in","occurred in",15
"of 2012","of 2012",15
"of 3","of 3",15
"of april","of april",15
"of at","of at",15
"of city","of city",15
"of looking","of looking",15
"of meat","of meat",15
"of most","of most",15
"of nature","of nature",15
"of ohio","of ohio",15
"of pain","of pain",15
"of playing","of playing",15
"of reasons","of reasons",15
"of sexual","of sexual",15
"of small","of small",15
"off as","off as",15
"office said","office said",15
"oh the","oh the",15
"ok so","ok so",15
"okay i","okay i",15
"oklahoma city","oklahoma city",15
"on every","on every",15
"on making","on making",15
"on more","on more",15
"on nov","on nov",15
"on such","on such",15
"on where","on where",15
"on who","on who",15
"one he","one he",15
"online at","online at",15
"only did","only did",15
"only had","only had",15
"opening the","opening the",15
"or may","or may",15
"or no","or no",15
"or perhaps","or perhaps",15
"other states","other states",15
"other way","other way",15
"others and","others and",15
"our community","our community",15
"out before","out before",15
"out her","out her",15
"out into","out into",15
"own the","own the",15
"pan and","pan and",15
"parents are","parents are",15
"party to","party to",15
"pay attention","pay attention",15
"people as","people as",15
"people for","people for",15
"people think","people think",15
"per cent","per cent",15
"per day","per day",15
"per serving","per serving",15
"performing arts","performing arts",15
"pictures i","pictures i",15
"planning on","planning on",15
"players on","players on",15
"pm saturday","pm saturday",15
"possible and","possible and",15
"possible that","possible that",15
"post about","post about",15
"power in","power in",15
"pray that","pray that",15
"preparation for","preparation for",15
"presented by","presented by",15
"price is","price is",15
"proceeded to","proceeded to",15
"produce a","produce a",15
"promise of","promise of",15
"property and","property and",15
"property tax","property tax",15
"q what","q what",15
"quarter and","quarter and",15
"quickly and","quickly and",15
"reality is","reality is",15
"really does","really does",15
"really don't","really don't",15
"record for","record for",15
"regarded as","regarded as",15
"relationship between","relationship between",15
"remains a","remains a",15
"remains in","remains in",15
"remember to","remember to",15
"republican presidential","republican presidential",15
"return for","return for",15
"right before","right before",15
"right direction","right direction",15
"right out","right out",15
"romney and","romney and",15
"run with","run with",15
"said friday","said friday",15
"said its","said its",15
"sake of","sake of",15
"same for","same for",15
"sauce and","sauce and",15
"say something","say something",15
"say we","say we",15
"saying he","saying he",15
"saying i","saying i",15
"saying they","saying they",15
"says it's","says it's",15
"school but","school but",15
"sent me","sent me",15
"sent the","sent the",15
"series and","series and",15
"setting up","setting up",15
"several weeks","several weeks",15
"sex and","sex and",15
"share a","share a",15
"share my","share my",15
"she looked","she looked",15
"she needed","she needed",15
"shoes and","shoes and",15
"shortly before","shortly before",15
"should take","should take",15
"should the","should the",15
"shouldn't have","shouldn't have",15
"showed the","showed the",15
"sick and","sick and",15
"sick of","sick of",15
"since you","since you",15
"sit and","sit and",15
"situation and","situation and",15
"sleep and","sleep and",15
"sleep in","sleep in",15
"slices of","slices of",15
"so ite28099s","so ite28099s",15
"so sad","so sad",15
"soft and","soft and",15
"something of","something of",15
"something so","something so",15
"space to","space to",15
"spending the","spending the",15
"spending time","spending time",15
"stages of","stages of",15
"staying in","staying in",15
"strength and","strength and",15
"struggle to","struggle to",15
"students at","students at",15
"stuff to","stuff to",15
"success of","success of",15
"support from","support from",15
"supported the","supported the",15
"surrounding the","surrounding the",15
"survey of","survey of",15
"take in","take in",15
"take time","take time",15
"take to","take to",15
"taken into","taken into",15
"taking over","taking over",15
"team the","team the",15
"testified that","testified that",15
"than not","than not",15
"thanks i","thanks i",15
"that do","that do",15
"that ended","that ended",15
"that matter","that matter",15
"that money","that money",15
"that now","that now",15
"that place","that place",15
"that say","that say",15
"that sometimes","that sometimes",15
"that we're","that we're",15
"that which","that which",15
"that's been","that's been",15
"the 2004","the 2004",15
"the baking","the baking",15
"the balance","the balance",15
"the basics","the basics",15
"the basket","the basket",15
"the benefits","the benefits",15
"the bird","the bird",15
"the birth","the birth",15
"the block","the block",15
"the break","the break",15
"the cash","the cash",15
"the college","the college",15
"the condition","the condition",15
"the cool","the cool",15
"the crash","the crash",15
"the date","the date",15
"the debate","the debate",15
"the desert","the desert",15
"the dogs","the dogs",15
"the eastern","the eastern",15
"the entrance","the entrance",15
"the exact","the exact",15
"the extent","the extent",15
"the flour","the flour",15
"the folks","the folks",15
"the growing","the growing",15
"the gun","the gun",15
"the hearing","the hearing",15
"the height","the height",15
"the inner","the inner",15
"the jewish","the jewish",15
"the joint","the joint",15
"the label","the label",15
"the larger","the larger",15
"the leading","the leading",15
"the mall","the mall",15
"the mark","the mark",15
"the maryland","the maryland",15
"the master","the master",15
"the mystery","the mystery",15
"the natione28099s","the natione28099s",15
"the needs","the needs",15
"the nonprofit","the nonprofit",15
"the odds","the odds",15
"the officers","the officers",15
"the oldest","the oldest",15
"the online","the online",15
"the pacific","the pacific",15
"the parade","the parade",15
"the peace","the peace",15
"the pentagon","the pentagon",15
"the primary","the primary",15
"the proper","the proper",15
"the questions","the questions",15
"the region's","the region's",15
"the regional","the regional",15
"the republicans","the republicans",15
"the ride","the ride",15
"the sake","the sake",15
"the santa","the santa",15
"the script","the script",15
"the seat","the seat",15
"the settlement","the settlement",15
"the show's","the show's",15
"the sort","the sort",15
"the spotlight","the spotlight",15
"the structure","the structure",15
"the suspect","the suspect",15
"the threat","the threat",15
"the titanic","the titanic",15
"the voters","the voters",15
"the warm","the warm",15
"the wings","the wings",15
"their last","their last",15
"them it","them it",15
"then as","then as",15
"there isn't","there isn't",15
"there they","there they",15
"they both","they both",15
"they call","they call",15
"they saw","they saw",15
"they use","they use",15
"they'll be","they'll be",15
"they've been","they've been",15
"thing we","thing we",15
"think she","think she",15
"this area","this area",15
"this makes","this makes",15
"this my","this my",15
"this trip","this trip",15
"through its","through its",15
"times for","times for",15
"to 12","to 12",15
"to accommodate","to accommodate",15
"to appeal","to appeal",15
"to block","to block",15
"to defeat","to defeat",15
"to destroy","to destroy",15
"to eliminate","to eliminate",15
"to evaluate","to evaluate",15
"to even","to even",15
"to file","to file",15
"to fund","to fund",15
"to having","to having",15
"to laugh","to laugh",15
"to making","to making",15
"to pitch","to pitch",15
"to quit","to quit",15
"to represent","to represent",15
"to ride","to ride",15
"to such","to such",15
"to texas","to texas",15
"to third","to third",15
"today he","today he",15
"too hard","too hard",15
"tool to","tool to",15
"training for","training for",15
"travel to","travel to",15
"trust me","trust me",15
"turn off","turn off",15
"two different","two different",15
"two to","two to",15
"under pressure","under pressure",15
"unlike the","unlike the",15
"until smooth","until smooth",15
"up her","up her",15
"us but","us but",15
"us have","us have",15
"us i","us i",15
"us if","us if",15
"us it","us it",15
"use their","use their",15
"very excited","very excited",15
"very special","very special",15
"views on","views on",15
"voice in","voice in",15
"vote in","vote in",15
"voted for","voted for",15
"wait till","wait till",15
"war and","war and",15
"war in","war in",15
"warned that","warned that",15
"was but","was but",15
"was founded","was founded",15
"was happy","was happy",15
"was involved","was involved",15
"was less","was less",15
"was reported","was reported",15
"was sold","was sold",15
"was talking","was talking",15
"was wearing","was wearing",15
"was when","was when",15
"washington and","washington and",15
"waste of","waste of",15
"watch out","watch out",15
"watched it","watched it",15
"way around","way around",15
"we arrived","we arrived",15
"we call","we call",15
"we moved","we moved",15
"wearing the","wearing the",15
"wednesday and","wednesday and",15
"wee28099re not","wee28099re not",15
"weeks after","weeks after",15
"well worth","well worth",15
"went and","went and",15
"were among","were among",15
"were supposed","were supposed",15
"what have","what have",15
"when did","when did",15
"when her","when her",15
"when is","when is",15
"when things","when things",15
"when u","when u",15
"which it","which it",15
"who believe","who believe",15
"who lived","who lived",15
"who we","who we",15
"whole foods","whole foods",15
"why so","why so",15
"will lead","will lead",15
"will no","will no",15
"will show","will show",15
"with five","with five",15
"with less","with less",15
"with several","with several",15
"with whom","with whom",15
"wondering what","wondering what",15
"worthy of","worthy of",15
"would probably","would probably",15
"year a","year a",15
"year by","year by",15
"year he","year he",15
"year later","year later",15
"year or","year or",15
"year will","year will",15
"years at","years at",15
"yes but","yes but",15
"yet he","yet he",15
"you care","you care",15
"you check","you check",15
"you eat","you eat",15
"you follow","you follow",15
"you plan","you plan",15
"you realize","you realize",15
"you stop","you stop",15
"you walk","you walk",15
"you we","you we",15
"your best","your best",15
"your choice","your choice",15
"your hair","your hair",15
"your mouth","your mouth",15
"yourself to","yourself to",15
"1 i","1 i",14
"12 and","12 and",14
"15 percent","15 percent",14
"2 the","2 the",14
"3 days","3 days",14
"3 minutes","3 minutes",14
"45 minutes","45 minutes",14
"5 and","5 and",14
"8 am","8 am",14
"a 1","a 1",14
"a 3","a 3",14
"a 30","a 30",14
"a college","a college",14
"a daughter","a daughter",14
"a drug","a drug",14
"a failure","a failure",14
"a flight","a flight",14
"a fouryear","a fouryear",14
"a guest","a guest",14
"a junior","a junior",14
"a lawyer","a lawyer",14
"a market","a market",14
"a measure","a measure",14
"a mile","a mile",14
"a miracle","a miracle",14
"a mistake","a mistake",14
"a model","a model",14
"a move","a move",14
"a must","a must",14
"a network","a network",14
"a nonprofit","a nonprofit",14
"a pass","a pass",14
"a pic","a pic",14
"a proper","a proper",14
"a quiet","a quiet",14
"a radio","a radio",14
"a republican","a republican",14
"a substantial","a substantial",14
"a system","a system",14
"a thin","a thin",14
"a trade","a trade",14
"a train","a train",14
"a victory","a victory",14
"a well","a well",14
"a wild","a wild",14
"a written","a written",14
"about 3","about 3",14
"about not","about not",14
"acknowledged that","acknowledged that",14
"actually have","actually have",14
"admit i","admit i",14
"affected by","affected by",14
"after getting","after getting",14
"after hearing","after hearing",14
"after work","after work",14
"afternoon and","afternoon and",14
"agreement with","agreement with",14
"all along","all along",14
"all by","all by",14
"all it","all it",14
"all just","all just",14
"all on","all on",14
"all she","all she",14
"all so","all so",14
"allow the","allow the",14
"also an","also an",14
"also not","also not",14
"also would","also would",14
"am at","am at",14
"am looking","am looking",14
"am with","am with",14
"amazing how","amazing how",14
"an a","an a",14
"an absolute","an absolute",14
"an adult","an adult",14
"an assistant","an assistant",14
"an author","an author",14
"an economic","an economic",14
"an exciting","an exciting",14
"an executive","an executive",14
"an incredible","an incredible",14
"and actually","and actually",14
"and bad","and bad",14
"and best","and best",14
"and both","and both",14
"and change","and change",14
"and coach","and coach",14
"and far","and far",14
"and federal","and federal",14
"and goes","and goes",14
"and hee28099s","and hee28099s",14
"and im","and im",14
"and john","and john",14
"and killed","and killed",14
"and must","and must",14
"and north","and north",14
"and once","and once",14
"and political","and political",14
"and private","and private",14
"and send","and send",14
"and small","and small",14
"and top","and top",14
"and warm","and warm",14
"and watched","and watched",14
"anger and","anger and",14
"another and","another and",14
"another day","another day",14
"another of","another of",14
"another time","another time",14
"anyone know","anyone know",14
"applied to","applied to",14
"approved by","approved by",14
"april 29","april 29",14
"are most","are most",14
"are set","are set",14
"are worth","are worth",14
"area for","area for",14
"arms and","arms and",14
"arrested in","arrested in",14
"arts and","arts and",14
"as ie28099ve","as ie28099ve",14
"as more","as more",14
"ask them","ask them",14
"at 11","at 11",14
"at and","at and",14
"at which","at which",14
"attended the","attended the",14
"authorities have","authorities have",14
"available on","available on",14
"awkward moment","awkward moment",14
"back down","back down",14
"back out","back out",14
"bad but","bad but",14
"bags and","bags and",14
"baking soda","baking soda",14
"batch of","batch of",14
"be free","be free",14
"be known","be known",14
"be talking","be talking",14
"be treated","be treated",14
"because most","because most",14
"bed and","bed and",14
"belong to","belong to",14
"best and","best and",14
"better for","better for",14
"better off","better off",14
"better way","better way",14
"big part","big part",14
"bit about","bit about",14
"bit and","bit and",14
"blend of","blend of",14
"book about","book about",14
"book to","book to",14
"books to","books to",14
"boy and","boy and",14
"bread and","bread and",14
"bringing the","bringing the",14
"build up","build up",14
"building in","building in",14
"business leaders","business leaders",14
"but does","but does",14
"but from","but from",14
"but i'll","but i'll",14
"but of","but of",14
"but they're","but they're",14
"by being","by being",14
"by using","by using",14
"call you","call you",14
"called in","called in",14
"came and","came and",14
"can become","can become",14
"can cause","can cause",14
"can keep","can keep",14
"can lead","can lead",14
"can really","can really",14
"can't even","can't even",14
"can't find","can't find",14
"can't stand","can't stand",14
"cane28099t be","cane28099t be",14
"cane28099t get","cane28099t get",14
"care to","care to",14
"cause i","cause i",14
"challenge and","challenge and",14
"challenge is","challenge is",14
"changing the","changing the",14
"children the","children the",14
"chips and","chips and",14
"choice but","choice but",14
"chose the","chose the",14
"church of","church of",14
"citizens of","citizens of",14
"city was","city was",14
"class i","class i",14
"clear the","clear the",14
"clear to","clear to",14
"cleveland and","cleveland and",14
"cold and","cold and",14
"college of","college of",14
"college students","college students",14
"come into","come into",14
"come see","come see",14
"comfortable with","comfortable with",14
"coming home","coming home",14
"comments about","comments about",14
"comments on","comments on",14
"community in","community in",14
"companies to","companies to",14
"construction of","construction of",14
"contact me","contact me",14
"conversation with","conversation with",14
"core of","core of",14
"could find","could find",14
"could i","could i",14
"couldn't have","couldn't have",14
"course in","course in",14
"courtesy of","courtesy of",14
"cream and","cream and",14
"create jobs","create jobs",14
"credit for","credit for",14
"culture of","culture of",14
"currently in","currently in",14
"cut back","cut back",14
"cuts and","cuts and",14
"danger of","danger of",14
"day as","day as",14
"day she","day she",14
"day you","day you",14
"de la","de la",14
"dealt with","dealt with",14
"decided not","decided not",14
"deep in","deep in",14
"defense and","defense and",14
"depend on","depend on",14
"did my","did my",14
"did so","did so",14
"did some","did some",14
"didne28099t even","didne28099t even",14
"do about","do about",14
"do was","do was",14
"doesn't know","doesn't know",14
"doesn't make","doesn't make",14
"doesn't seem","doesn't seem",14
"dog and","dog and",14
"doing great","doing great",14
"don't ask","don't ask",14
"don't give","don't give",14
"done this","done this",14
"done28099t even","done28099t even",14
"double the","double the",14
"drink a","drink a",14
"drive the","drive the",14
"driving the","driving the",14
"during that","during that",14
"e28094 as","e28094 as",14
"e28094 to","e28094 to",14
"e2809ci am","e2809ci am",14
"e2809cit is","e2809cit is",14
"easy but","easy but",14
"eating a","eating a",14
"editor of","editor of",14
"either a","either a",14
"either the","either the",14
"else i","else i",14
"email and","email and",14
"email from","email from",14
"end and","end and",14
"enjoyed a","enjoyed a",14
"entitled to","entitled to",14
"even for","even for",14
"ever have","ever have",14
"everyone to","everyone to",14
"expect a","expect a",14
"experts say","experts say",14
"explain why","explain why",14
"fact it","fact it",14
"fails to","fails to",14
"faith and","faith and",14
"fall asleep","fall asleep",14
"families and","families and",14
"family i","family i",14
"father of","father of",14
"feel bad","feel bad",14
"feet in","feet in",14
"fighting for","fighting for",14
"figured out","figured out",14
"find your","find your",14
"first few","first few",14
"focuses on","focuses on",14
"food to","food to",14
"for almost","for almost",14
"for days","for days",14
"for giving","for giving",14
"for great","for great",14
"forget that","forget that",14
"form a","form a",14
"forward and","forward and",14
"four weeks","four weeks",14
"from each","from each",14
"fruit and","fruit and",14
"funded by","funded by",14
"funding for","funding for",14
"funds to","funds to",14
"game 1","game 1",14
"game the","game the",14
"general assembly","general assembly",14
"get around","get around",14
"get caught","get caught",14
"get down","get down",14
"get his","get his",14
"get so","get so",14
"getting out","getting out",14
"gift of","gift of",14
"girl is","girl is",14
"girls and","girls and",14
"give my","give my",14
"giving you","giving you",14
"go all","go all",14
"go but","go but",14
"go get","go get",14
"go off","go off",14
"go wrong","go wrong",14
"goals in","goals in",14
"good work","good work",14
"great show","great show",14
"great things","great things",14
"grow and","grow and",14
"growth and","growth and",14
"had another","had another",14
"had that","had that",14
"hand the","hand the",14
"happy about","happy about",14
"happy mother's","happy mother's",14
"has about","has about",14
"has it","has it",14
"has played","has played",14
"have created","have created",14
"have him","have him",14
"have less","have less",14
"have put","have put",14
"have spent","have spent",14
"he hopes","he hopes",14
"he suffered","he suffered",14
"he tells","he tells",14
"heard it","heard it",14
"hearing the","hearing the",14
"heart is","heart is",14
"hee28099s not","hee28099s not",14
"held the","held the",14
"help people","help people",14
"helping to","helping to",14
"hence the","hence the",14
"her feet","her feet",14
"her hands","her hands",14
"her on","her on",14
"here with","here with",14
"here you","here you",14
"hey i","hey i",14
"him because","him because",14
"his death","his death",14
"his final","his final",14
"his most","his most",14
"his third","his third",14
"home a","home a",14
"home at","home at",14
"honest i","honest i",14
"hope of","hope of",14
"hot water","hot water",14
"hotel in","hotel in",14
"hour to","hour to",14
"house with","house with",14
"housing and","housing and",14
"how that","how that",14
"i consider","i consider",14
"i discovered","i discovered",14
"i imagine","i imagine",14
"i kind","i kind",14
"i listen","i listen",14
"i walk","i walk",14
"i wouldne28099t","i wouldne28099t",14
"i'd have","i'd have",14
"i'll never","i'll never",14
"i'll take","i'll take",14
"i'm also","i'm also",14
"i'm happy","i'm happy",14
"ideas that","ideas that",14
"ie28099ve seen","ie28099ve seen",14
"if all","if all",14
"if anything","if anything",14
"if people","if people",14
"if that's","if that's",14
"im going","im going",14
"important and","important and",14
"important than","important than",14
"in 1999","in 1999",14
"in canada","in canada",14
"in christ","in christ",14
"in england","in england",14
"in germany","in germany",14
"in him","in him",14
"in illinois","in illinois",14
"in keeping","in keeping",14
"in over","in over",14
"in point","in point",14
"in seven","in seven",14
"in southern","in southern",14
"in trying","in trying",14
"in various","in various",14
"included a","included a",14
"information call","information call",14
"information that","information that",14
"instead the","instead the",14
"investigation of","investigation of",14
"is absolutely","is absolutely",14
"is bad","is bad",14
"is clear","is clear",14
"is determined","is determined",14
"is holding","is holding",14
"is it's","is it's",14
"is necessary","is necessary",14
"is nice","is nice",14
"is offering","is offering",14
"is some","is some",14
"is we","is we",14
"issue with","issue with",14
"it clear","it clear",14
"it depends","it depends",14
"it go","it go",14
"it happen","it happen",14
"it how","it how",14
"it probably","it probably",14
"it remains","it remains",14
"it take","it take",14
"it today","it today",14
"it'll be","it'll be",14
"it's no","it's no",14
"it's pretty","it's pretty",14
"it's probably","it's probably",14
"ite28099s one","ite28099s one",14
"items and","items and",14
"james and","james and",14
"jesus is","jesus is",14
"job at","job at",14
"just getting","just getting",14
"just hope","just hope",14
"just right","just right",14
"just saying","just saying",14
"just think","just think",14
"just went","just went",14
"keep me","keep me",14
"keeping the","keeping the",14
"knew this","knew this",14
"knew we","knew we",14
"know for","know for",14
"know him","know him",14
"know me","know me",14
"large part","large part",14
"last of","last of",14
"last thing","last thing",14
"last week's","last week's",14
"law in","law in",14
"leads the","leads the",14
"league of","league of",14
"let's make","let's make",14
"life at","life at",14
"like and","like and",14
"like her","like her",14
"line at","line at",14
"line for","line for",14
"line the","line the",14
"list and","list and",14
"list is","list is",14
"live at","live at",14
"locked in","locked in",14
"look and","look and",14
"looked up","looked up",14
"love him","love him",14
"lunch with","lunch with",14
"make his","make his",14
"makes us","makes us",14
"making an","making an",14
"man that","man that",14
"manager for","manager for",14
"married to","married to",14
"martial arts","martial arts",14
"may 4","may 4",14
"maybe the","maybe the",14
"me down","me down",14
"me happy","me happy",14
"me just","me just",14
"means a","means a",14
"meet with","meet with",14
"members to","members to",14
"messed up","messed up",14
"met the","met the",14
"might just","might just",14
"mind the","mind the",14
"minutes later","minutes later",14
"missed the","missed the",14
"missing the","missing the",14
"model of","model of",14
"money i","money i",14
"month or","month or",14
"more fun","more fun",14
"morning at","morning at",14
"mother was","mother was",14
"movie is","movie is",14
"much longer","much longer",14
"my attention","my attention",14
"my fault","my fault",14
"my legs","my legs",14
"my second","my second",14
"my story","my story",14
"myself for","myself for",14
"name on","name on",14
"name was","name was",14
"nearly two","nearly two",14
"need and","need and",14
"never mind","never mind",14
"new book","new book",14
"newt gingrich","newt gingrich",14
"next up","next up",14
"nine months","nine months",14
"no 4","no 4",14
"no better","no better",14
"no less","no less",14
"not available","not available",14
"not easy","not easy",14
"not expect","not expect",14
"not look","not look",14
"not their","not their",14
"not work","not work",14
"not worth","not worth",14
"note to","note to",14
"notes that","notes that",14
"nothing else","nothing else",14
"noticed the","noticed the",14
"noting that","noting that",14
"notion of","notion of",14
"notion that","notion that",14
"numbers are","numbers are",14
"of 12","of 12",14
"of americans","of americans",14
"of bad","of bad",14
"of david","of david",14
"of first","of first",14
"of gold","of gold",14
"of justice","of justice",14
"of luck","of luck",14
"of mr","of mr",14
"of natural","of natural",14
"of place","of place",14
"of portland","of portland",14
"of shoes","of shoes",14
"of someone","of someone",14
"of southern","of southern",14
"of sweet","of sweet",14
"of taking","of taking",14
"of thought","of thought",14
"officials to","officials to",14
"oh yes","oh yes",14
"on fire","on fire",14
"on january","on january",14
"once they","once they",14
"one a","one a",14
"one we","one we",14
"one will","one will",14
"online and","online and",14
"open in","open in",14
"opening of","opening of",14
"or go","or go",14
"or his","or his",14
"or she","or she",14
"or your","or your",14
"organization that","organization that",14
"our world","our world",14
"out an","out an",14
"out she","out she",14
"out your","out your",14
"over her","over her",14
"over this","over this",14
"parks and","parks and",14
"part to","part to",14
"performance of","performance of",14
"perhaps it","perhaps it",14
"person is","person is",14
"personally i","personally i",14
"phase of","phase of",14
"phone calls","phone calls",14
"picture is","picture is",14
"place with","place with",14
"places in","places in",14
"played for","played for",14
"player in","player in",14
"pm april","pm april",14
"point for","point for",14
"police were","police were",14
"pop up","pop up",14
"position as","position as",14
"possible in","possible in",14
"pot of","pot of",14
"preparing for","preparing for",14
"press conference","press conference",14
"previous post","previous post",14
"probably would","probably would",14
"problem in","problem in",14
"process is","process is",14
"project i","project i",14
"promise to","promise to",14
"proof of","proof of",14
"proof that","proof that",14
"provides a","provides a",14
"public library","public library",14
"push the","push the",14
"put an","put an",14
"put me","put me",14
"put off","put off",14
"put out","put out",14
"quarter the","quarter the",14
"question for","question for",14
"quick to","quick to",14
"rain and","rain and",14
"ran for","ran for",14
"range from","range from",14
"reached for","reached for",14
"reading it","reading it",14
"really enjoy","really enjoy",14
"really enjoyed","really enjoyed",14
"really excited","really excited",14
"really liked","really liked",14
"really nice","really nice",14
"realm of","realm of",14
"reasons why","reasons why",14
"recent weeks","recent weeks",14
"reduction in","reduction in",14
"refusing to","refusing to",14
"reluctant to","reluctant to",14
"remember when","remember when",14
"represents the","represents the",14
"restaurant in","restaurant in",14
"results of","results of",14
"right here","right here",14
"ron paul","ron paul",14
"running the","running the",14
"said before","said before",14
"said last","said last",14
"said on","said on",14
"said so","said so",14
"said that's","said that's",14
"said their","said their",14
"said thursday","said thursday",14
"same period","same period",14
"say yes","say yes",14
"school as","school as",14
"school students","school students",14
"seconds left","seconds left",14
"secret service","secret service",14
"see an","see an",14
"see more","see more",14
"see u","see u",14
"see who","see who",14
"seek to","seek to",14
"seemed like","seemed like",14
"seen it","seen it",14
"seen my","seen my",14
"service is","service is",14
"set and","set and",14
"set off","set off",14
"several months","several months",14
"she found","she found",14
"she needs","she needs",14
"she really","she really",14
"she should","she should",14
"she's not","she's not",14
"should come","should come",14
"since his","since his",14
"since my","since my",14
"site is","site is",14
"six weeks","six weeks",14
"skills and","skills and",14
"sleep with","sleep with",14
"slice of","slice of",14
"small business","small business",14
"so often","so often",14
"social networking","social networking",14
"sold at","sold at",14
"some work","some work",14
"somebody who","somebody who",14
"something a","something a",14
"soon be","soon be",14
"sorry about","sorry about",14
"sounded like","sounded like",14
"south african","south african",14
"spot on","spot on",14
"st paul","st paul",14
"staff and","staff and",14
"standing in","standing in",14
"start in","start in",14
"started by","started by",14
"started on","started on",14
"started this","started this",14
"stay away","stay away",14
"stay on","stay on",14
"stayed in","stayed in",14
"still love","still love",14
"stop in","stop in",14
"stuff and","stuff and",14
"sunday in","sunday in",14
"sure he","sure he",14
"sure we","sure we",14
"system for","system for",14
"tablespoons of","tablespoons of",14
"take out","take out",14
"take their","take their",14
"tale of","tale of",14
"taxes on","taxes on",14
"teams have","teams have",14
"ten years","ten years",14
"test the","test the",14
"that actually","that actually",14
"that big","that big",14
"that don't","that don't",14
"that from","that from",14
"that hee28099s","that hee28099s",14
"that help","that help",14
"that helps","that helps",14
"that killed","that killed",14
"that never","that never",14
"that once","that once",14
"that person","that person",14
"that since","that since",14
"that song","that song",14
"that stuff","that stuff",14
"that there's","that there's",14
"that too","that too",14
"that's because","that's because",14
"thate28099s why","thate28099s why",14
"the 2","the 2",14
"the 2007","the 2007",14
"the 3rd","the 3rd",14
"the a","the a",14
"the apple","the apple",14
"the appropriate","the appropriate",14
"the area's","the area's",14
"the attorney","the attorney",14
"the brain","the brain",14
"the brewers","the brewers",14
"the brewery","the brewery",14
"the cards","the cards",14
"the ceiling","the ceiling",14
"the celtics","the celtics",14
"the collection","the collection",14
"the common","the common",14
"the connection","the connection",14
"the consumer","the consumer",14
"the creation","the creation",14
"the creative","the creative",14
"the crowds","the crowds",14
"the dodgers","the dodgers",14
"the dream","the dream",14
"the education","the education",14
"the eight","the eight",14
"the enemy","the enemy",14
"the famous","the famous",14
"the fine","the fine",14
"the finest","the finest",14
"the flowers","the flowers",14
"the hair","the hair",14
"the inevitable","the inevitable",14
"the knowledge","the knowledge",14
"the meaning","the meaning",14
"the metro","the metro",14
"the milk","the milk",14
"the mission","the mission",14
"the mountains","the mountains",14
"the mouth","the mouth",14
"the musical","the musical",14
"the nearby","the nearby",14
"the newest","the newest",14
"the ninth","the ninth",14
"the occasional","the occasional",14
"the offseason","the offseason",14
"the option","the option",14
"the panel","the panel",14
"the performance","the performance",14
"the physical","the physical",14
"the piano","the piano",14
"the possible","the possible",14
